Stock,Date,Opnprc,Hiprc,Loprc,Clsprc,Volume,Amount,ToverOs,OutShares,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio,LimitDown,LimitUp,LimitStatus
2594,9/16/2022,268,271.45,264.36,265.98,10447636,2797971959,0.896974,1164764604,309804089.4,482259736.6,-0.013061,-0.013061,271.437496,265.97891,1,0,0,269.5,-0.013061,242.55,296.45,0
2594,9/19/2022,268,273.9,266.68,270.35,11094999,3006108121,0.952553,1164764604,314894110.7,490183170.9,0.01643,0.01643,275.897162,270.348892,1,0,0,265.98,0.01643,239.38,292.58,0
2594,9/20/2022,273.8,277.49,272.01,274.21,11124502,3058894059,0.955086,1164764604,319390102.1,497181902.3,0.014278,0.014278,279.836363,274.208876,1,0,0,270.35,0.014278,243.32,297.39,0
2594,9/21/2022,271.8,272.61,267,270,8375363,2258898398,0.719061,1164764604,314486443.1,489548570.9,-0.015353,-0.015353,275.53998,269.998893,1,0,0,274.21,-0.015353,246.79,301.63,0
2594,9/22/2022,267.49,269.38,261.3,268.55,9279950,2468839436,0.796723,1164764604,312797534.4,486919513.7,-0.00537,-0.00537,274.060228,268.548899,1,0,0,270,-0.00537,243,297,0
2594,9/23/2022,267.09,269.77,264.28,266.4,7964412,2125444095,0.683779,1164764604,310293290.5,483021256.6,-0.008006,-0.008006,271.866113,266.398908,1,0,0,268.55,-0.008006,241.7,295.41,0
2594,9/26/2022,266.4,276,263.58,272.95,14360640,3911414127,1.232922,1164764604,317922498.7,494897342.3,0.024587,0.024587,278.550509,272.948881,1,0,0,266.4,0.024587,239.76,293.04,0
2594,9/27/2022,272.96,274.83,270.06,273.96,8309593,2262822665,0.713414,1164764604,319098910.9,496728616.6,0.0037,0.0037,279.581233,273.958877,1,0,0,272.95,0.0037,245.66,300.25,0
2594,9/28/2022,273,273,265.5,265.62,8562018,2293531516,0.735086,1164764604,309384774.1,481607005.2,-0.030442,-0.030442,271.070109,265.618911,1,0,0,273.96,-0.030442,246.56,301.36,0
2594,9/29/2022,270,271.8,264,264.57,8835668,2355802796,0.75858,1164764604,308161771.3,479703205.2,-0.003953,-0.003953,269.998565,264.568915,1,0,0,265.62,-0.003953,239.06,292.18,0
2594,9/30/2022,263,263.55,249,252.01,21403588,5421385039,1.837589,1164764604,293532327.9,456930130.9,-0.047473,-0.047473,257.180853,252.008967,1,0,0,264.57,-0.047473,238.11,291.03,0
2594,10/10/2022,252.27,256.4,249.44,251.2,11747850,2967008054,1.008603,1164764604,292588868.5,455461485.2,-0.003214,-0.003214,256.354233,251.19897,1,0,0,252.01,-0.003214,226.81,277.21,0
2594,10/11/2022,252,257.38,249.33,255.01,13282039,3370369988,1.14032,1164764604,297026621.7,462369559.5,0.015167,0.015167,260.242408,255.008954,1,0,0,251.2,0.015167,226.08,276.32,0
2594,10/12/2022,254,263.25,249.95,262.34,14487143,3708582158,1.243783,1164764604,305564346.2,475659896.6,0.028744,0.028744,267.722808,262.338924,1,0,0,255.01,0.028744,229.51,280.51,0
2594,10/13/2022,260,263,258.08,258.18,9618660,2497932932,0.825803,1164764604,300718925.5,468117222.3,-0.015857,-0.015857,263.477451,258.178941,1,0,0,262.34,-0.015857,236.11,288.57,0
2594,10/14/2022,262.08,269.1,259.95,264.54,14569451,3854443049,1.250849,1164764604,308126828.3,479648810.9,0.024634,0.024634,269.967948,264.538915,1,0,0,258.18,0.024634,232.36,284,0
2594,10/17/2022,263,263,256.69,260.66,10967836,2842978645,0.941635,1164764604,303607541.7,472613816.6,-0.014667,-0.014667,266.008336,260.658931,1,0,0,264.54,-0.014667,238.09,290.99,0
2594,10/18/2022,279,279,272.5,273.67,24414179,6717206761,2.096061,1164764604,318761129.2,496202805.1,0.049912,0.049912,279.285281,273.668878,1,0,0,260.66,0.049912,234.59,286.73,0
2594,10/19/2022,273.67,276.44,266.88,267.5,13400403,3642369174,1.150482,1164764604,311574531.6,485015713.7,-0.022545,-0.022545,272.988682,267.498903,1,0,0,273.67,-0.022545,246.3,301.04,0
2594,10/20/2022,264,265.58,257.4,263.51,12841678,3355270263,1.102513,1164764604,306927120.8,477781273.7,-0.014916,-0.014916,268.916813,263.508919,1,0,0,267.5,-0.014916,240.75,294.25,0
2594,10/21/2022,263.52,270.88,262.01,266.3,10478554,2794657482,0.899628,1164764604,310176814.1,482839942.3,0.010588,0.010588,271.764059,266.298908,1,0,0,263.51,0.010588,237.16,289.86,0
2594,10/24/2022,264.9,266.31,253.57,255.57,16741256,4324097663,1.437308,1164764604,297678889.8,463384919.5,-0.040293,-0.040293,260.813896,255.568952,1,0,0,266.3,-0.040293,239.67,292.93,0
2594,10/25/2022,253,260.59,250.03,257.91,11324267,2897739554,0.972237,1164764604,300404439,467627673.7,0.009156,0.009156,263.201909,257.908942,1,0,0,255.57,0.009156,230.01,281.13,0
